iter	Passed	Remaining
348	856	1597
349	858	1594
350	861	1592
351	863	1589
352	865	1586
353	868	1584
354	871	1582
355	873	1580
356	875	1575
357	877	1573
358	880	1571
359	882	1569
360	885	1566
361	887	1564
362	890	1562
363	892	1559
364	895	1557
365	898	1555
366	900	1552
367	902	1550
368	905	1547
369	907	1545
370	910	1543
371	912	1540
372	915	1539
373	918	1536
374	920	1534
375	923	1532
376	925	1529
377	928	1528
378	931	1526
379	933	1523
380	936	1520
381	938	1518
382	941	1517
383	944	1514
384	946	1512
385	949	1509
386	951	1507
387	954	1505
388	957	1503
389	959	1501
390	962	1499
391	965	1496
392	967	1494
393	970	1492
394	972	1489
395	975	1487
396	977	1485
397	980	1483
398	983	1480
399	985	1478
400	988	1476
401	990	1474
402	993	1471
403	995	1468
404	998	1466
405	1000	1463
406	1003	1461
407	1005	1459
408	1007	1456
409	1010	1454
410	1012	1451
411	1015	1449
412	1018	1447
413	1020	1444
414	1023	1442
415	1025	1439
416	1027	1437
417	1030	1434
418	1032	1432
419	1035	1429
420	1037	1427
421	1040	1425
422	1043	1422
423	1045	1420
424	1047	1417
425	1050	1415
426	1053	1413
427	1055	1411
428	1058	1408
429	1060	1405
430	1062	1403
431	1065	1400
432	1068	1398
433	1070	1396
434	1073	1394
435	1075	1391
436	1078	1389
437	1080	1387
438	1083	1384
439	1085	1382
440	1088	1379
441	1090	1377
442	1093	1374
443	1095	1371
444	1098	1369
445	1100	1367
446	1103	1364
447	1105	1362
448	1108	1359
449	1110	1357
450	1112	1354
451	1115	1352
452	1118	1350
453	1120	1347
454	1123	1345
455	1125	1343
456	1128	1340
457	1130	1337
458	1133	1335
459	1135	1333
460	1138	1330
461	1140	1328
462	1143	1325
463	1145	1323
464	1148	1321
465	1150	1318
466	1153	1316
467	1155	1313
468	1158	1311
469	1160	1308
470	1163	1306
471	1165	1303
472	1168	1301
473	1170	1299
474	1172	1296
475	1175	1294
476	1178	1291
477	1180	1289
478	1183	1286
479	1185	1284
480	1188	1281
481	1190	1279
482	1192	1276
483	1195	1274
484	1197	1271
485	1200	1269
486	1203	1267
487	1205	1264
488	1208	1262
489	1210	1260
490	1213	1257
491	1215	1255
492	1218	1253
493	1220	1250
494	1223	1248
495	1226	1245
496	1228	1243
497	1231	1241
498	1233	1238
499	1235	1235
500	1238	1233
501	1240	1230
502	1243	1228
503	1246	1226
504	1248	1223
505	1251	1221
506	1253	1219
507	1256	1216
508	1258	1214
509	1261	1212
510	1263	1209
511	1266	1207
512	1268	1204
513	1271	1202
514	1274	1199
515	1276	1197
516	1279	1195
517	1281	1192
518	1284	1190
519	1286	1187
520	1288	1185
521	1291	1182
522	1293	1179
523	1295	1177
524	1298	1174
525	1300	1172
526	1303	1169
527	1305	1167
528	1308	1164
529	1310	1162
530	1313	1159
531	1315	1157
532	1317	1154
533	1320	1152
534	1323	1149
535	1325	1147
536	1328	1145
537	1330	1142
538	1333	1140
539	1335	1137
540	1338	1135
541	1341	1133
542	1343	1130
543	1345	1128
544	1348	1125
545	1350	1123
546	1353	1120
547	1355	1118
548	1357	1115
549	1360	1113
550	1362	1110
551	1365	1108
552	1367	1105
553	1369	1102
554	1372	1100
555	1374	1097
556	1376	1094
557	1378	1092
558	1381	1089
559	1383	1087
560	1386	1084
561	1388	1082
562	1391	1079
563	1393	1077
564	1395	1074
565	1398	1072
566	1400	1069
567	1402	1067
568	1405	1064
569	1408	1062
570	1410	1059
571	1412	1057
572	1415	1054
573	1417	1052
574	1419	1049
575	1422	1046
576	1424	1044
577	1426	1041
578	1428	1039
579	1431	1036
580	1434	1034
581	1436	1031
582	1438	1028
583	1440	1026
584	1443	1023
585	1445	1021
586	1447	1018
587	1450	1016
588	1452	1013
589	1455	1011
590	1457	1008
591	1460	1006
592	1463	1004
593	1465	1001
594	1468	999
595	1470	996
596	1473	994
597	1475	992
598	1478	989
599	1480	987
600	1483	984
601	1485	982
602	1488	979
603	1490	977
604	1492	974
605	1495	972
606	1497	969
607	1500	967
608	1502	964
609	1505	962
610	1507	959
611	1510	957
612	1513	955
613	1515	952
614	1518	950
615	1520	948
616	1523	945
617	1526	943
618	1528	940
619	1531	938
620	1533	935
621	1536	933
622	1538	931
623	1541	928
624	1543	926
625	1546	923
626	1548	921
627	1551	919
628	1554	916
629	1556	914
630	1558	911
631	1561	909
632	1564	906
633	1566	904
634	1569	902
635	1571	899
636	1574	896
637	1576	894
638	1579	892
639	1581	889
640	1584	887
641	1586	884
642	1589	882
643	1591	879
644	1594	877
645	1596	874
646	1599	872
647	1601	869
648	1603	867
649	1606	864
650	1609	862
651	1611	860
652	1614	857
653	1617	855
654	1619	853
655	1621	850
656	1624	848
657	1627	845
658	1629	843
659	1632	840
660	1635	838
661	1638	836
662	1641	834
663	1643	831
664	1646	829
665	1648	826
666	1651	824
667	1654	822
668	1656	819
669	1659	817
670	1662	814
671	1664	812
672	1667	810
673	1669	807
674	1672	805
675	1675	803
676	1678	800
677	1680	798
678	1683	795
679	1685	793
680	1688	791
681	1691	788
682	1693	786
683	1696	783
684	1698	781
685	1701	778
686	1703	776
687	1706	773
688	1708	771
689	1711	768
690	1713	766
691	1715	763
692	1718	761
693	1721	759
694	1724	756
695	1726	754
696	1729	751
697	1731	749
698	1734	746
699	1736	744
700	1739	742
701	1741	739
702	1744	737
703	1746	734
704	1749	732
705	1752	729
706	1754	727
707	1757	724
708	1759	722
709	1762	719
710	1764	717
711	1767	714
712	1769	712
713	1772	709
714	1774	707
715	1776	704
716	1779	702
717	1781	699
718	1784	697
719	1786	694
720	1789	692
721	1791	689
722	1794	687
723	1797	685
724	1799	682
725	1801	680
726	1804	677
727	1806	675
728	1809	672
729	1811	670
730	1814	667
731	1816	665
732	1818	662
733	1821	660
734	1823	657
735	1826	655
736	1828	652
737	1831	650
738	1833	647
739	1835	644
740	1838	642
741	1840	640
742	1843	637
743	1845	635
744	1848	632
745	1850	630
746	1853	627
747	1855	625
748	1858	622
749	1860	620
750	1863	617
751	1865	615
752	1868	612
753	1870	610
754	1873	607
755	1875	605
756	1878	602
757	1880	600
758	1883	598
759	1885	595
760	1888	593
761	1891	590
762	1893	588
763	1896	585
764	1898	583
765	1901	580
766	1904	578
767	1906	575
768	1909	573
769	1911	571
770	1914	568
771	1917	566
772	1920	563
773	1922	561
774	1924	558
775	1927	556
776	1930	553
777	1932	551
778	1935	549
779	1938	546
780	1940	544
781	1942	541
782	1945	539
783	1948	536
784	1950	534
785	1953	531
786	1955	529
787	1958	526
788	1960	524
789	1963	521
790	1965	519
791	1967	516
792	1970	514
793	1973	511
794	1975	509
795	1978	506
796	1980	504
797	1983	502
798	1985	499
799	1988	497
800	1990	494
801	1992	491
802	1995	489
803	1997	486
804	1999	484
805	2002	481
806	2004	479
807	2006	476
808	2009	474
809	2011	471
810	2014	469
811	2016	466
812	2018	464
813	2021	461
814	2024	459
815	2026	456
816	2029	454
817	2031	451
818	2033	449
819	2036	446
820	2038	444
821	2041	442
822	2043	439
823	2046	437
824	2048	434
825	2051	432
826	2053	429
827	2056	427
828	2059	424
829	2061	422
830	2064	419
831	2067	417
832	2070	415
833	2072	412
834	2075	410
835	2077	407
836	2079	405
837	2082	402
838	2084	400
839	2087	397
840	2089	395
841	2092	392
842	2094	390
843	2096	387
844	2099	385
845	2101	382
846	2104	380
847	2107	377
848	2109	375
849	2111	372
850	2114	370
851	2116	367
852	2119	365
853	2121	362
854	2124	360
855	2126	357
856	2129	355
857	2131	352
858	2133	350
859	2136	347
860	2139	345
861	2141	342
862	2144	340
863	2146	337
864	2149	335
865	2151	332
866	2154	330
867	2156	327
868	2159	325
869	2161	322
870	2163	320
871	2166	318
872	2169	315
873	2171	313
874	2174	310
875	2176	308
876	2179	305
877	2181	303
878	2184	300
879	2187	298
880	2189	295
881	2192	293
882	2194	290
883	2197	288
884	2200	285
885	2202	283
886	2205	280
887	2207	278
888	2210	275
889	2212	273
890	2215	270
891	2217	268
892	2220	266
893	2222	263
894	2224	261
895	2227	258
896	2230	256
897	2232	253
898	2235	251
899	2237	248
900	2240	246
901	2243	243
902	2245	241
903	2248	238
904	2250	236
905	2253	233
906	2255	231
907	2257	228
908	2260	226
909	2264	223
910	2267	221
911	2269	218
912	2272	216
913	2274	214
914	2276	211
915	2279	209
916	2281	206
917	2284	204
918	2286	201
919	2288	199
920	2291	196
921	2294	194
922	2296	191
923	2299	189
924	2301	186
925	2304	184
926	2306	181
927	2309	179
928	2311	176
929	2314	174
930	2316	171
931	2318	169
932	2321	166
933	2323	164
934	2326	161
935	2328	159
936	2331	156
937	2333	154
938	2336	151
939	2338	149
940	2341	146
941	2344	144
942	2346	141
943	2349	139
944	2351	136
945	2353	134
946	2356	131
947	2358	129
948	2361	126
949	2363	124
950	2366	121
951	2368	119
952	2370	116
953	2373	114
954	2375	111
955	2378	109
956	2380	106
957	2383	104
958	2385	101
959	2387	99
960	2390	97
961	2393	94
962	2395	92
963	2398	89
964	2400	87
965	2403	84
966	2405	82
967	2408	79
968	2410	77
969	2413	74
970	2415	72
971	2418	69
972	2421	67
973	2423	64
974	2426	62
975	2428	59
976	2431	57
977	2433	54
978	2436	52
979	2438	49
980	2440	47
981	2443	44
982	2445	42
983	2448	39
984	2450	37
985	2453	34
986	2455	32
987	2457	29
988	2460	27
989	2462	24
990	2465	22
991	2467	19
992	2470	17
993	2472	14
994	2475	12
995	2477	9
996	2480	7
997	2482	4
998	2485	2
999	2488	0
